# Columns:
# QSO_ID = QSO name
# z_abs = absorber redshift
# N(HI) = HI column density
# sig(N(HI)) = HI column density error
# [M/H] = metallicity
# sig([M/H]) = metallicity error
# log_Z = log of metal abundance by mass
# log_DTG = log of dust-to-gas ratio
# log_DTM = log of dust-to-metal ratio
QSO_ID,z_abs,N(HI),sig(N(HI)),[M/H],sig([M/H]),log_Z,log_DTG,log_DTM
B0105−008,1.371,21.7,0.15,-1.08,0.17,-2.95,-3.89,-0.94
B1036-2257,2.778,20.93,0.05,-1.01,0.09,-2.88,-3.735,-0.855
B2314−409,1.857,20.9,0.1,-0.65,0.19,-2.52,-3.343,-0.823
B2355−106,1.172,21.0,0.1,-0.477,0.23,-2.361,-3.011,-0.65
BR0951−04,3.857,20.6,0.1,-0.954,0.14,-2.842,-3.459,-0.617
BR1108-0747,3.608,20.37,0.07,-1.3,0.1,-3.17,-4.144,-0.973
BR1117-1329,3.35,20.84,0.12,-0.86,0.15,-2.73,-3.57,-0.84
BR1202−0725,4.383,20.55,0.03,-1.17,0.14,-3.047,-3.759,-0.712
BRI1013+0035,3.104,21.1,0.1,0.007,0.13,-1.904,-2.367,-0.463
CTQ418,2.429,20.68,0.07,-1.45,0.11,-3.32,-4.211,-0.891
CTQ418,2.514,20.5,0.07,-1.11,0.11,-2.98,-3.789,-0.809
FJ0812+32,2.626,21.35,0.1,-0.438,0.14,-2.345,-2.834,-0.489
FJ0812+32,2.067,21.0,0.1,-1.1,0.13,-2.97,-3.944,-0.973
FJ2334−0908,3.057,20.48,0.05,-0.581,0.09,-2.469,-3.089,-0.62
HE0515−4414,1.15,20.45,0.15,-0.577,0.26,-2.469,-3.06,-0.591
HE1104−1805,1.662,20.85,0.01,-0.603,0.07,-2.488,-3.123,-0.634
HE1122−1649,0.68,20.45,0.05,-0.136,0.15,-2.05,-2.499,-0.449
HE2243-6031,2.33,20.67,0.02,-0.76,0.08,-2.63,-3.632,-1.002
HS0741+4741,3.017,20.48,0.1,-1.41,0.12,-3.28,-4.676,-1.396
HS1132+2243,2.783,21.0,0.07,-1.5,0.16,-3.37,-4.145,-0.775
J0000+0048,2.525,20.95,0.1,1.08,0.47,-0.825,-1.156,-0.33
J0008−0958,1.768,20.85,0.15,0.243,0.18,-1.641,-2.288,-0.647
J0035−0918,2.34,20.55,0.1,-2.23,0.14,-4.1,-5.496,-1.396
J0035−0918,2.34,20.55,0.1,-2.04,0.15,-3.91,-4.756,-0.846
J0058+0115,2.01,21.1,0.15,-0.379,0.18,-2.269,-2.874,-0.605
J0142+0023,3.348,20.38,0.05,-1.3,0.14,-3.17,-3.979,-0.809
J0211+1241,2.595,20.6,0.15,-0.37,0.19,-2.24,-3.015,-0.775
J0233+0103,1.785,20.6,0.15,-1.06,0.18,-2.93,-4.4,-1.47
J0234−0751,2.318,20.9,0.1,-1.64,0.15,-3.51,-4.98,-1.47
J0255+00,3.915,21.3,0.05,-1.51,0.12,-3.38,-4.521,-1.141
J0255+00,3.253,20.7,0.1,-0.527,0.13,-2.411,-3.058,-0.647
J0256+0110,0.725,20.7,0.2,0.272,0.37,-1.635,-2.124,-0.489
J0817+1351,4.258,21.3,0.15,-0.92,0.23,-2.79,-4.26,-1.47
J0824+1302,4.472,20.65,0.2,-1.9,0.24,-3.77,-5.24,-1.47
J0825+5127,3.318,20.85,0.1,-1.22,0.16,-3.09,-3.865,-0.775
J0831+4046,4.344,20.75,0.15,-1.83,0.18,-3.7,-5.17,-1.47
J0834+2140,4.39,21.0,0.2,-1.03,0.22,-2.9,-3.78,-0.88
J0834+2140,4.461,20.3,0.15,-1.54,0.18,-3.41,-4.88,-1.47
J0900+42,3.246,20.3,0.1,-0.55,0.12,-2.42,-3.275,-0.855
J0909+3303,3.658,20.55,0.1,-0.84,0.15,-2.71,-3.499,-0.789
J0953−0504,4.203,20.55,0.1,-2.24,0.23,-4.11,-5.566,-1.455
J0958+0145,1.928,20.4,0.1,-0.635,0.14,-2.526,-3.123,-0.597
J1004+0018,2.685,21.39,0.1,-1.6,0.13,-3.47,-4.563,-1.092
J1004+0018,2.54,21.3,0.1,-1.17,0.12,-3.04,-4.229,-1.189
J1017+6116,2.768,20.6,0.1,-1.74,0.14,-3.61,-5.08,-1.47
J1024+0600,1.895,20.6,0.15,-0.086,0.19,-1.968,-2.641,-0.673
J1037+0139,2.705,20.5,0.08,-1.55,0.11,-3.42,-4.243,-0.823
J1042+0628,1.943,20.7,0.15,-0.64,0.24,-2.51,-3.426,-0.916
J1042+3107,4.087,20.75,0.1,-1.49,0.13,-3.36,-4.83,-1.47
J1049−0110,1.658,20.35,0.15,0.576,0.18,-1.326,-1.848,-0.522
J1051+3107,4.139,20.7,0.2,-1.71,0.3,-3.58,-4.793,-1.213
J1051+3545,4.35,20.45,0.1,-1.45,0.13,-3.32,-4.184,-0.864
J1056+1208,1.61,21.45,0.15,0.082,0.18,-1.819,-2.347,-0.528
J1101+0531,4.345,21.3,0.1,-0.682,0.2,-2.564,-3.225,-0.661
J1107+0048,0.74,21.0,0.04,-0.18,0.17,-2.05,-2.802,-0.752
J1111+3509,4.052,20.8,0.15,-1.6,0.18,-3.47,-4.94,-1.47
J1131+6044,2.875,20.5,0.15,-0.913,0.21,-2.819,-3.318,-0.499
J1135−0010,2.207,22.05,0.1,-0.664,0.13,-2.559,-3.122,-0.562
J1142+0701,1.841,21.5,0.15,-0.443,0.18,-2.336,-2.915,-0.579
