Name,MHI_MSUN,MHI_UNC_PCT,12+log(O/H),MH2_MW_MSUN,MH2_Z_MSUN,MDUST_MSUN,MU_GAL,DGR_MW,DGR_Z
Haro11,5.01E+008,50,8.36,2.51E+008,1.17E+009,10232929.9228075,1.38,0.0098605939,0.0044375623
Haro2,3.77E+008,16.08,8.23,1.26E+008,1.03E+009,1737800.82874938,1.38,0.0025035307,0.0008950078
Haro3,1.13E+009,2.13,8.28,3.02E+007,2.01E+008,2290867.65276777,1.38,0.00143083,0.0012472194
He2-10,3.10E+008,6.45,8.43,9.55E+007,3.21E+008,1621810.09735893,1.39,0.0028773609,0.0018490806
HS0822+3542,5.75E+007,22.22,7.32,9.48E+005,5.21E+007,6309.5734448019,1.37,0.000078797,4.20212414406863E-005
HS1442+4250,3.10E+008,2.27,7.6,3.82E+006,2.10E+008,9772.3722095581,1.37,0.00002273,1.37175353868025E-005
IZw18,1.00E+008,16.08,7.14,2.71E+006,1.49E+008,724.435960075,1.37,5.14833387515832E-006,2.12363603340366E-006
IC10,4.41E+007,4.52,8.17,4.84E+006,5.27E+007,309029.543251359,1.38,0.0045756937,0.0023133724
IIZw40,5.66E+008,16.08,8.23,2.83E+007,2.41E+008,562341.325190349,1.38,0.0006856701,0.0005049488
Mrk1089,1.47E+010,7.91,8.1,2.84E+008,4.31E+009,26915348.0392691,1.38,0.0013016468,0.0010259798
Mrk1450,4.30E+007,16.08,7.84,5.30E+005,2.91E+007,46773.5141287198,1.37,0.0007843154,0.0004735264
Mrk209,2.76E+007,6.58,7.74,3.09E+006,2.50E+008,4786.3009232264,1.37,0.0001138368,1.25851956373356E-005
Mrk930,3.19E+009,11.06,8.03,3.07E+007,6.57E+008,17782794.1003892,1.38,0.0040010192,0.0033496446
NGC1140,3.50E+009,26.71,8.38,1.91E+007,8.02E+007,4265795.18801593,1.38,0.0008783939,0.0008634031
NGC1569,1.77E+008,16.08,8.02,7.08E+005,1.54E+007,363078.054770102,1.38,0.0014805188,0.0013674638
NGC1705,7.67E+007,12.5,8.27,0,0,181970.085860998,1.38,0.0017191966,0.0017191966
NGC2366,2.93E+008,6.76,7.7,9.12E+006,5.01E+008,204173.794466953,1.37,0.0004932873,0.0001876977
NGC4214,3.76E+008,16.08,8.26,1.62E+006,1.16E+007,2089296.13085404,1.38,0.0040092757,0.0039060441
NGC4449,9.55E+008,16.08,8.2,2.67E+007,2.50E+008,3388441.56139203,1.38,0.0025011637,0.0020376701
NGC4861,4.12E+008,6.27,7.89,5.90E+006,3.24E+008,524807.460249772,1.37,0.0009166574,0.0005204771
NGC5253,1.06E+008,5.66,8.25,3.02E+006,2.26E+007,602559.586074358,1.38,0.0040051127,0.003395314
NGC625,1.10E+008,18.18,8.22,4.36E+006,3.72E+007,537031.796370253,1.38,0.003402881,0.0026437057
NGC6822,1.04E+008,10.45,7.96,3.58E+005,1.05E+007,741310.241300918,1.38,0.0051474859,0.00469154
SBS0335-052,4.37E+008,10.27,7.25,5.67E+006,3.12E+008,2884.0315031266,1.37,4.75553456081058E-006,2.81059076640056E-006
SBS1211+540,5.60E+007,16.08,7.58,6.90E+005,3.79E+007,2398.8329190195,1.37,3.08868042616135E-005,1.86472090904246E-005
SBS1249+493,1.00E+009,48.15,7.68,1.23E+007,6.77E+008,489778.819368447,1.37,0.0003531589,0.00021318
SBS1415+437,4.37E+008,16.08,7.55,5.38E+006,2.96E+008,6606.934480076,1.37,1.09014420011398E-005,6.57923589694981E-006
SBS1533+574,3.00E+009,11.29,8.05,3.70E+007,2.03E+009,776247.116628691,1.38,0.000185215,0.0001118286
UGC4483,2.52E+007,5,7.46,4.06E+005,2.23E+007,275.4228703338,1.37,7.85122984786916E-006,4.23239139967448E-006
UM133,2.15E+008,4.38,7.82,4.93E+006,2.71E+008,31622.7766016838,1.37,0.000104953,4.74944828958034E-005
UM311,6.09E+010,16.08,8.36,9.37E+007,4.28E+008,50118723.3627272,1.38,0.0005954372,0.0005921914
UM448,6.00E+009,27.63,8.32,3.55E+009,1.92E+010,16982436.5246175,1.38,0.0012885983,0.0004883378
UM461,7.31E+007,5,7.73,1.66E+006,9.09E+007,16595.8690743756,1.37,0.0001620355,7.38644697987164E-005
VIIZw403,3.25E+007,8.28,7.66,6.41E+005,3.52E+007,11481.5362149688,1.37,0.0002528796,0.0001237915
